# http://earthquake.usgs.gov/earthquakes/search/
# Temblores de magnitud 5 a 10, durante un periodo de 10 años, limitada al area Chile.

time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-11T13:11:34.020Z,-30.663,-71.7475,24.68,5.4,mww,,90,0.097,0.7,us,us10005gih,2016-07-20T18:10:53.040Z,"52km W of Ovalle, Chile",earthquake,4.5,3.4,,,reviewed,us,us
2016-04-27T10:13:50.260Z,-24.1304,-66.782,173.47,5.1,mb,,25,1.737,1.17,us,us10005bwt,2016-07-08T02:49:25.040Z,"48km WNW of San Antonio de los Cobres, Argentina",earthquake,6.4,4.9,0.028,405,reviewed,us,us
2016-04-27T02:16:51.190Z,-31.6405,-67.7468,17.46,5,mb,,29,0.805,1.33,us,us10005buk,2016-07-08T02:49:25.040Z,"50km E of Caucete, Argentina",earthquake,5.7,3.2,0.044,166,reviewed,us,us
2016-04-22T07:28:44.840Z,-29.4657,-111.7784,10,5,mb,,55,3.089,0.9,us,us20005ksq,2016-07-08T02:49:17.040Z,"Easter Island region",earthquake,11.8,1.8,0.053,116,reviewed,us,us
2016-04-18T11:38:38.680Z,-31.7266,-71.2874,42.04,5.2,mww,,79,0.576,1.09,us,us20005jgy,2016-06-27T23:02:07.040Z,"15km SW of Illapel, Chile",earthquake,4.6,3.5,,,reviewed,us,us
2016-04-16T07:34:20.500Z,-29.5755,-111.5741,10,5.5,mwc,,42,3.056,0.67,us,us20005iyl,2016-06-27T23:01:48.040Z,"Easter Island region",earthquake,10.6,1.9,,,reviewed,us,gcmt
2016-04-16T06:05:22.860Z,-26.4613,-69.8601,59.32,5.3,mww,,47,0.732,0.83,us,us20005iy5,2016-06-27T23:01:48.040Z,"21km ESE of Diego de Almagro, Chile",earthquake,6.4,3,,,reviewed,us,us
2016-04-14T09:38:44.100Z,-33.8833,-70.4192,110.52,5.1,mww,,35,0.179,0.83,us,us20005hz4,2016-06-21T01:14:12.040Z,"31km ESE of Paine, Chile",earthquake,5.9,3.6,,,reviewed,us,us
2016-04-10T15:46:11.370Z,-41.0662,-91.2735,11.68,5.2,mb,,63,13.241,0.69,us,us20005gtl,2016-06-21T01:14:07.040Z,"Southeast of Easter Island",earthquake,12.1,3.5,0.038,226,reviewed,us,us
2016-04-06T17:35:38.680Z,-31.4832,-71.7832,29.74,5.3,mww,,80,0.725,0.81,us,us20005fvy,2016-06-17T21:45:48.040Z,"60km WNW of Illapel, Chile",earthquake,4.3,0.8,,,reviewed,us,us
2016-04-04T12:32:45.000Z,-31.2367,-71.77,24.36,5.3,mww,,80,0.572,0.91,us,us20005eg7,2016-06-17T21:45:26.040Z,"72km NW of Illapel, Chile",earthquake,2.8,3,,,reviewed,us,us
2016-03-16T03:49:32.850Z,-31.241,-71.7314,25.41,5.3,mww,,92,0.571,0.76,us,us20005a3a,2016-05-21T00:05:33.040Z,"69km NW of Illapel, Chile",earthquake,4.6,3.5,,,reviewed,us,us
2016-03-12T16:05:15.180Z,-30.2495,-71.6502,36.83,5.1,mww,,117,0.423,1.27,us,us10004x18,2016-05-21T00:05:27.040Z,"44km SW of Coquimbo, Chile",earthquake,2.5,4.6,,,reviewed,us,us
2016-03-10T08:34:12.440Z,-18.8045,-69.629,94.43,5,mb,,88,0.48,1.04,us,us10004wgx,2016-05-16T18:01:50.040Z,"67km S of Putre, Chile",earthquake,6.7,6.2,0.058,96,reviewed,us,us
2016-03-02T09:49:53.740Z,-18.6904,-70.7402,33.44,5.2,mww,,87,0.398,0.88,us,us10004u0r,2016-05-06T23:34:23.040Z,"51km WSW of Arica, Chile",earthquake,4.7,3.7,,,reviewed,us,us
2016-02-25T15:35:06.740Z,-23.1052,-68.9667,85.47,5.2,mww,,45,0.475,1.21,us,us10004slu,2016-06-13T18:59:05.000Z,"70km S of Calama, Chile",earthquake,5.3,2.2,,,reviewed,us,us
