luciofontt;2015-09-16 19:36;0;0;"Un terremoto me ignora kien sas";;;;https://twitter.com/luciofontt/status/644293825389850624
rothkopf;2015-09-16 19:36;0;1;"Me llama mi padre para saber si sentí el temblor . Vivo en un segundo piso en el Once. Acá lo único que se mueve es Paco";Ciudad Autónoma de Buenos Aires, Argentina;;;https://twitter.com/rothkopf/status/644293825305935876
DoblasError404;2015-09-16 19:36;0;1;"Temblor en arg y chile y mientras tanto yo quejandome de que la bateria no me dura";;;;https://twitter.com/DoblasError404/status/644293825238667264
Noelita32;2015-09-16 19:36;0;0;"Sentí exactamente como cuando el fue el otro terremoto en Chile! Horrible!";;;;https://twitter.com/Noelita32/status/644293825196892161
sumariumcom;2015-09-16 19:36;10;0;"AHORA Alerta de Tsunami para toda la costa de Chile tras fuerte terremoto http:// sumarium.com/fuerte-terremo to-en-el-centro-de-chile/ …";Venezuela;;;https://twitter.com/sumariumcom/status/644293824982949888
SoloiPhone;2015-09-16 19:36;0;0;"@pmunozpetignani jodas yo escribiendo eso y el terremoto otra vez . Q wea";;@pmunozpetignani;;https://twitter.com/SoloiPhone/status/644293824970420225
xFuckWolf;2015-09-16 19:36;0;0;"Siente un temblor de 7.9 y a los pocos minutos un terremoto de 8.3 po hueón para ver si la pasas Aparte de los Tsunami.";;;;https://twitter.com/xFuckWolf/status/644293824928284672
JiimeFernandez8;2015-09-16 19:36;0;0;"8,3?????????????? queeee???? #temblor #miedo #nosmeamostodos";;;#temblor #miedo #nosmeamostodos;https://twitter.com/JiimeFernandez8/status/644293824634847232
jonatik4eever;2015-09-16 19:36;0;0;"recién me entero del #temblor en #Chile y #Argentina ... espero estén bien! bendiciones de una Mexicana!!";Chicago, IL;;#temblor #Chile #Argentina;https://twitter.com/jonatik4eever/status/644293824483692545
josxfaith;2015-09-16 19:36;0;0;"@iQueCecilia creo que un Terremoto (?";;@iQueCecilia;;https://twitter.com/josxfaith/status/644293824445988864
nelsonmeza;2015-09-16 19:36;8;1;"Suenan alarmas de tsunami en zonas costeras de #Chile por terremoto de magnitud 8.3. Ordenan evacuación inmediata. pic.twitter.com/rQiRI6Fh0V";;;#Chile;https://twitter.com/nelsonmeza/status/644293824005701632
maryelapaz;2015-09-16 19:36;0;0;"San fernando región del libertador, muy fuerte se sintió, pensamos en otro terremoto @24HorasTVN";;@24HorasTVN;;https://twitter.com/maryelapaz/status/644293823783391232
MiluCenturion_;2015-09-16 19:36;0;0;"Me da cagaso todo esto de el temblor , a mi tía se le movió toda la casa y estoy así";;;;https://twitter.com/MiluCenturion_/status/644293823607238656
nbalcala_;2015-09-16 19:36;1;0;"Hubo sismo en Chile y se sintió en Catamarca, San Luis y Mendoza. Acá en Santa Fe se siente en los edificios @Leonelszkarlat";;@Leonelszkarlat;;https://twitter.com/nbalcala_/status/644293823552692224
woozbtf;2015-09-16 19:36;0;0;"Todos locos bc temblor y alguien aprovechó para tocarme el paquete.";;;;https://twitter.com/woozbtf/status/644293823317864448
eduripl;2015-09-16 19:36;0;0;"Despiertame cuando pase el temblor";;;;https://twitter.com/eduripl/status/644293823284310017
Carlos_HerreraF;2015-09-16 19:36;0;0;"#Chile suben a 8.3 la magnitud #Sismo @JGutierrezVivo @AristeguiOnline @brozoxmiswebs @PedroFerriz";;@JGutierrezVivo @AristeguiOnline @brozoxmiswebs @PedroFerriz;#Chile #Sismo;https://twitter.com/Carlos_HerreraF/status/644293823263182848
HidalgoNewss;2015-09-16 19:36;0;0;"Retweeted Pedro Ferriz de Con ( @PedroFerriz ): Alerta de tsunami en #Chile tras sismo de 7.9 I... http:// fb.me/7AsICl11r";;@PedroFerriz;#Chile;https://twitter.com/HidalgoNewss/status/644293823242338304
uncle_ricky;2015-09-16 19:36;0;0;"Bachelet yetaaa #temblor #terremoto";Chile;;#temblor #terremoto;https://twitter.com/uncle_ricky/status/644293822952906752
Irustasofii;2015-09-16 19:36;0;0;"Bue ya fue el temblor !!";;;;https://twitter.com/Irustasofii/status/644293822743224322
evwix;2015-09-16 19:36;0;5;"los sacudones réplicas post terremoto son onda las últimas gotas de wasca cuando eyaculas ahre";;;;https://twitter.com/evwix/status/644293822697066500
Thu_rosmeri;2015-09-16 19:36;0;0;"Decretan alerta de tsunami tras sismo de magnitud 7,9 en el centro de Chile: CHILE. Las autoridades chilenas d... http:// bit.ly/1YdHan1";;;;https://twitter.com/Thu_rosmeri/status/644293822692720640
AylenCollar;2015-09-16 19:36;0;2;"Me voy de bahía y se siente el temblor . Menos suerte.";;;;https://twitter.com/AylenCollar/status/644293822676119552
AnaRent;2015-09-16 19:36;33;8;"El Centro Sismológico de #Chile señala que el #sismo fue de 8 grados. Confirman que hay #Alerta de #Tsunami . Piden a la población calma.";;;#Chile #sismo #Alerta #Tsunami;https://twitter.com/AnaRent/status/644293822432718848
Flor_Osman;2015-09-16 19:36;1;0;"Que flashean temblor ?";;;;https://twitter.com/Flor_Osman/status/644293822407684096
Chucurumbito;2015-09-16 19:36;1;1;"¿ #Bechelet se entero por la prensa del terremoto ?";;;#Bechelet;https://twitter.com/Chucurumbito/status/644293822336376832
LuchoMateos;2015-09-16 19:36;0;2;"DAAAAAAAAA TANTO VAS A TEMBLAR pic.twitter.com/8uSv5CYcXp";;;;https://twitter.com/LuchoMateos/status/644293822277648384
tsniallvicicont;2015-09-16 19:36;0;0;"@stylingolds terremoto donde?";;@stylingolds;;https://twitter.com/tsniallvicicont/status/644293822130876416
1828ps;2015-09-16 19:36;0;0;"Tengo miedo esta temblando y ay alerta de tsunami :-(";;;;https://twitter.com/1828ps/status/644293822063751168
PixellStudio;2015-09-16 19:36;0;0;"Cuando pase el temblor ..... http:// fb.me/4EToWL32Y";;;;https://twitter.com/PixellStudio/status/644293821849862144
candenobaguirre;2015-09-16 19:36;0;0;"Que onda? Todos sintieron el temblor menos yo jaja";Rosario, Argentina;;;https://twitter.com/candenobaguirre/status/644293821795303424
kikii_cruz;2015-09-16 19:36;0;0;"Todo el mundo hablando del temblor pero... ALGUIEN PUEDE PENSAR EN LOS NIÑOS????? *leer con voz de la Señora Alegra de los simpsons*";;;;https://twitter.com/kikii_cruz/status/644293821745000448
LiluMoreira;2015-09-16 19:36;0;0;"+David sentiste el temblor ? - Si me cague todo y baje a la calle enseguida. Jajajajajajajajaj";;;;https://twitter.com/LiluMoreira/status/644293821698822145
Yovich77;2015-09-16 19:36;0;0;"@Residente Así es, un fuerte sismo se sintio en la sona centro costa. Hay alarma de tsumami para toda la costa de chile.";;@Residente;;https://twitter.com/Yovich77/status/644293821614977025
rvrpr;2015-09-16 19:36;0;0;"y porque el @USGS tiene mayor exactitud del #temblor que la @onemichile y @sismoguc";;@USGS @onemichile @sismoguc;#temblor;https://twitter.com/rvrpr/status/644293821510098944
Camibelenfunes;2015-09-16 19:36;0;0;"Gorda quedate quieta deja de hacer temblar .";Unión, Argentina;;;https://twitter.com/Camibelenfunes/status/644293821455597569
SantiagoNani1;2015-09-16 19:36;3;4;"El estómago de hambre fue el único temblor que sentí";;;;https://twitter.com/SantiagoNani1/status/644293821396860928
fotoalaminute;2015-09-16 19:36;0;0;"Um sismo de 8.3 é muita fruta!!";;;;https://twitter.com/fotoalaminute/status/644293821359067136
cuervocastiglio;2015-09-16 19:36;0;0;"Yo no sentí ningún temblor porque laburo en un bunker anti-bombas. Si algún día cae una bomba en microcentro, ni me voy a enterar jaja";;;;https://twitter.com/cuervocastiglio/status/644293821174554625
CampesiChanito;2015-09-16 19:36;0;0;"Sismo de 7.9 grados sacude a Chile emiten alerta de tsunami http:// ift.tt/1P0h7JU";;;;https://twitter.com/CampesiChanito/status/644293821124186112
fablantelirico;2015-09-16 19:36;0;0;"@0RTOGRAFIA ¿Es evacúen o evacuen? #terremoto";;@0RTOGRAFIA;#terremoto;https://twitter.com/fablantelirico/status/644293820776083456
luuzvazquezz;2015-09-16 19:36;0;0;"Ya sabemos que tembló ._.";;;;https://twitter.com/luuzvazquezz/status/644293820599959552
radio102nueve;2015-09-16 19:36;2;0;"#EnDesarrollo : @USGS actualizó información y señala que sismo en #Chile fue de 8.3 grados. @YacyNunez";;@USGS @YacyNunez;#EnDesarrollo #Chile;https://twitter.com/radio102nueve/status/644293820511854592
MauGrande;2015-09-16 19:36;0;0;"Me preocupa algo: el #temblor no volvió a lesionar a Gago no?";Avellaneda, Argentina;;#temblor;https://twitter.com/MauGrande/status/644293820306300928
angelsc3_c;2015-09-16 19:36;0;0;"Despiértame, cuando pase el #temblor";;;#temblor;https://twitter.com/angelsc3_c/status/644293820176162817
GastonPerlo;2015-09-16 19:36;0;0;"Le digo a mi viejo del temblor y me dice "si que se pudra todo ya" cuanta seguridad jajajaja";Corrientes, Argentina;;;https://twitter.com/GastonPerlo/status/644293819924619264
activitybieber;2015-09-16 19:36;0;0;"Chile babies espero que esten todas bien! Cuidense mucho! Y en Las otras provicias donde temblo tambien ily.";;;;https://twitter.com/activitybieber/status/644293819823988736
mailenlucero;2015-09-16 19:36;0;0;"no sabes si son fantasmas o es temblor por los videos";;;;https://twitter.com/mailenlucero/status/644293819517771776
onlymoonjh;2015-09-16 19:36;5;0;"nunca senti un temblor en mi vida seguro debe ser una de las peores cosas del mundo";;;;https://twitter.com/onlymoonjh/status/644293819433943040
evangelinaailen;2015-09-16 19:36;0;0;"Ustedes joden con eso del temblor y yo re SE VIENE EL FIN DEL MUNDO";;;;https://twitter.com/evangelinaailen/status/644293819375190016
Agus_Arnaudo;2015-09-16 19:36;0;0;"El temblor fue de 8.3 grados en chile y en otros paises se sintio";;;;https://twitter.com/Agus_Arnaudo/status/644293819320651776
SaandraHunter1;2015-09-16 19:36;0;0;"@matthunter123 mi amor estaba sola en mi casa para el terremoto :(";;@matthunter123;;https://twitter.com/SaandraHunter1/status/644293819085758464
vicenteusaa;2015-09-16 19:36;0;0;"Me dio más sed de #terremoto";;;#terremoto;https://twitter.com/vicenteusaa/status/644293818993541120
alexiagvm;2015-09-16 19:36;0;2;"Vivo en Tacna,me informan del terremoto , me aseguro de q una amiga muy querida este bien,con la gracia d Dios está ok. @Su_Stephania cdte";;@Su_Stephania;;https://twitter.com/alexiagvm/status/644293818897072129
luli_carpio;2015-09-16 19:36;0;0;"temblor haceme la onda de seguir mas tarde plis https:// twitter.com/MaaxiRoldan/st atus/644293419569967104 …";;;;https://twitter.com/luli_carpio/status/644293818846715904
MaleenaFarias;2015-09-16 19:36;0;1;"Listo ya esta se viene el fin del mundo acéptenlo jajajaja #Temblor puto -.-";;;#Temblor;https://twitter.com/MaleenaFarias/status/644293818813140992
GarciaSilvinaa;2015-09-16 19:36;0;2;"Si lo sentimos en rosario ... Imagínate en chile !!! #temblor";;;#temblor;https://twitter.com/GarciaSilvinaa/status/644293818762809344
DaiaaRech;2015-09-16 19:36;0;0;"Si no son mis riñones es un temblor , los planetas se alinean para que no pueda estudiar..! Lpm...";;;;https://twitter.com/DaiaaRech/status/644293818716684288
FrankoCerutti;2015-09-16 19:36;0;0;"Despiertame cuando pase el temblor (Chile)";;;;https://twitter.com/FrankoCerutti/status/644293818637000704
JKnoXxXville;2015-09-16 19:36;1;5;""Cuando pase el temblor ". Al final cerati era un zaratustra.";;;;https://twitter.com/JKnoXxXville/status/644293818565697536
Yo_lanati;2015-09-16 19:36;0;0;"Cuál fue el papel del terremoto en la dictadura?";;;;https://twitter.com/Yo_lanati/status/644293818465058816
