username;date;retweets;favorites;text;geo;mentions;hashtags;permalink
in_iern0s;2015-09-14 19:49;0;0;"'me sonrieron sus ojos y me tembló hasta el alma.'";;;;https://twitter.com/in_iern0s/status/643572423460302849
Karennnnnnnnn__;2015-09-14 19:49;0;2;"Me sonrieron sus ojos y me tembló hasta el alma .";Luján de Cuyo, Argentina;;;https://twitter.com/Karennnnnnnnn__/status/643572259202985984
benitoRM96;2015-09-14 19:49;0;0;"pegate ami ritmo siente el magnetismo tu cadera y la mia boom asen un sismo #astamañanaa https:// instagram.com/p/7oUpFbQRI_/";;;#astama;https://twitter.com/benitoRM96/status/643572256061456384
SrRafty;2015-09-14 19:49;0;3;"Estoy temblando .";;;;https://twitter.com/SrRafty/status/643572236016820225
_jossa_;2015-09-14 19:49;1;0;"oh terremoto ! durante el bello mes que te está consagrado todo resuena con tu nombre y alabanza...… https:// instagram.com/p/7oUoASwwHv/";;;;https://twitter.com/_jossa_/status/643572220191768576
minervaasiin22;2015-09-14 19:48;0;0;"No puedo con este temblor en el pie...... #afuuu";;;#afuuu;https://twitter.com/minervaasiin22/status/643572127774449665
nuevaya;2015-09-14 19:48;1;1;"Un sismo de magnitud 4,7 sacude la costa occidental de EE.UU. >>> http:// bit.ly/1EZ0uOQ pic.twitter.com/ok3ez2Fb5k";;;;https://twitter.com/nuevaya/status/643572006454214657
TodoTiempo;2015-09-14 19:48;0;0;"#Temblor M 2.7 - 69km ESE of Lakeview, Oregon http:// dlvr.it/C8h2Hf #Temblor #EarthQuake";;;#Temblor #Temblor #EarthQuake;https://twitter.com/TodoTiempo/status/643571969401602048
AlertaDeSismos;2015-09-14 19:47;10;10;"El Gran Terremoto de California sería entre finales del 2015 y principios del 2016---> http:// bit.ly/1UQzGY9 pic.twitter.com/6b8MJdVCfO";;;;https://twitter.com/AlertaDeSismos/status/643571930382082048
DJ_TIBURON_MIX;2015-09-14 19:47;0;0;"Palabras de Chiabes que hacen temblar a Maburro: Salgan a la calle si falta comida https:// youtu.be/vmjvHJn6mnk #NoEsPorPresumir";Macuto, Venezuela;;#NoEsPorPresumir;https://twitter.com/DJ_TIBURON_MIX/status/643571865315901440
509chico;2015-09-14 19:47;0;0;"Descargar Terremoto La Falla de San Andres HD 720p por Mega http://www. descargatelocorp.com/terremoto-la-f alla-de-san-andres-hd-720p/ … vía @descargatelocor";;@descargatelocor;;https://twitter.com/509chico/status/643571770474278912
AlertsGG;2015-09-14 19:47;0;2;"AciertoReal #RefSep14_24x7d Sismo Mag 4.3 hace 1h Nabire (PNG) Se pronosticó 4.8 +/-0.5 (Epicentro a 253km) http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459330 …";;;#RefSep14_24x7d;https://twitter.com/AlertsGG/status/643571692472770560
KATRISH62;2015-09-14 19:46;0;0;"hasta hora me entero q tembló ? #Panama";;;#Panama;https://twitter.com/KATRISH62/status/643571577494224896
AlertsGG;2015-09-14 19:46;0;2;"AciertoReal #RefSep14_28x7d Sismo Mag 4.9 en Region Kermadec Se pronosticó 5.2 +/-0.5 (Epicentro a 223km) http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459269 …";;;#RefSep14_28x7d;https://twitter.com/AlertsGG/status/643571557881749504
_al1215;2015-09-14 19:46;0;0;"Alguien que le diga a mis manos que paren de temblar , gracias.";;;;https://twitter.com/_al1215/status/643571513803739136
MonitorSismico;2015-09-14 19:46;0;0;"#Sismo M 2.7 NEVADA. 14-09-2015 23:18 UTC http:// srj.us/3Em #Temblor #CSEM #EMSC pic.twitter.com/w5MtmvPd7o";;;#Sismo #Temblor #CSEM #EMSC;https://twitter.com/MonitorSismico/status/643571477447634944
_MarianoConte;2015-09-14 19:46;0;0;"grotle evoluciono a torterra y aprendio terremoto gane el juego";;;;https://twitter.com/_MarianoConte/status/643571466244616193
camiibuonanno_;2015-09-14 19:46;0;0;"@JuanVallone jajajjaja deberias temblar";;@JuanVallone;;https://twitter.com/camiibuonanno_/status/643571432665022464
MiguelOrozco_v2;2015-09-14 19:45;0;0;"aunque cuando no te tengo...todo empieza a temblar #frasesbunbury";;;#frasesbunbury;https://twitter.com/MiguelOrozco_v2/status/643571421797580800
AlertsGG;2015-09-14 19:45;2;3;"AciertoReal #RefSep14_10x7d Sismo Mag 4.5 en San Martin, Argentina Se pronosticó 4.8 +/-0.5 (Epicentro a 168km) http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459263 …";;;#RefSep14_10x7d;https://twitter.com/AlertsGG/status/643571415019573248
SebasIbarra_;2015-09-14 19:45;0;1;"Saldo de este inicio de semana: viento zonda (viento caliente muy fuerte con polvo) y sismo de 4.5 grados. Feliz lunes.";;;;https://twitter.com/SebasIbarra_/status/643571384950591488
fab_fideos;2015-09-14 19:45;0;0;"Tras sismo del 85, V Rojo es solidario con las costureras. Ellas salieron adelante http:// eluni.mx/1VXMglr #México pic.twitter.com/Z6pBEKYVlW";;;#M;https://twitter.com/fab_fideos/status/643571372208300032
Empanadan;2015-09-14 19:45;0;0;""Me sonrieron sus ojos y me tembló hasta el alma" - (via contando-sonrisas) http:// tmblr.co/ZJ1bVt1uFPBEV";;;;https://twitter.com/Empanadan/status/643571371784728576
rossarioess;2015-09-14 19:45;0;0;"Me sonrieron sus ojos y me tembló hasta el alma";;;;https://twitter.com/rossarioess/status/643571246119055361
Hispantv;2015-09-14 19:45;15;8;"Premio Nobel de economía: Habrá un terremoto inminente en la bolsa de #EEUU http:// goo.gl/A3fidH";;;#EEUU;https://twitter.com/Hispantv/status/643571229052547072
Naza_Monzon;2015-09-14 19:44;0;1;"Estoy temblando pero no tengo frío q me pasa @cuerpohumano me das miedo";;@cuerpohumano;;https://twitter.com/Naza_Monzon/status/643571141542547456
melody_cotten;2015-09-14 19:44;0;0;"@GastonTrezeguet la misma que " tembló de miedo" aceptó a los dos días jugar al hielo loco con el supuesto misógino violento...";;@GastonTrezeguet;;https://twitter.com/melody_cotten/status/643571139772596224
OsvaldoBaez_01;2015-09-14 19:44;0;0;"No puedo ya disimular ,Te toco y empiezo a temblar";;;;https://twitter.com/OsvaldoBaez_01/status/643571121804156928
DeduEliana;2015-09-14 19:44;0;0;"@AylenMazzei15 recién me levanto jajajaja estoy temblando ! Alta siesta dormí con bastu :3";;@AylenMazzei15;;https://twitter.com/DeduEliana/status/643571088996323328
alesofiRE;2015-09-14 19:44;0;0;"Estoy temblando de los nervios";;;;https://twitter.com/alesofiRE/status/643571059871096832
Arii_rhcp;2015-09-14 19:44;0;0;"Ni sentí que tembló hoy en la mañana..";;;;https://twitter.com/Arii_rhcp/status/643571032285163520
WladimirPulgarG;2015-09-14 19:44;0;0;"@guti_1971 Tengo fotos de casas de la GALILEA que se partieron y hundieron con el terremoto . Que se parta un sobrecimiento es como mucho";;@guti_1971;;https://twitter.com/WladimirPulgarG/status/643570979512430592
Prensa_UdeG;2015-09-14 19:44;0;0;"A 30 años del sismo de 1985 investigadores de @udg_cucei piden actualizar reglamento de construcción en Jalisco? http:// bit.ly/1KmBr8z";;@udg_cucei;;https://twitter.com/Prensa_UdeG/status/643570935455350784
JeereW;2015-09-14 19:43;0;0;"No paro de temblar ! :/";Tigre, Argentina;;;https://twitter.com/JeereW/status/643570864999526400
Eracay;2015-09-14 19:43;2;0;"Van 6 en 24 Hrs #sismo #panama https:// twitter.com/almomento360ho y/status/643545544443342852 …";;;#sismo #panama;https://twitter.com/Eracay/status/643570772347351040
AbrilPoleri;2015-09-14 19:43;0;0;"estoy temblando literal, y hace 21°";;;;https://twitter.com/AbrilPoleri/status/643570718240845824
Conchipumarino;2015-09-14 19:43;1;0;"tengo unas ganas de tomar terremoto";;;;https://twitter.com/Conchipumarino/status/643570684220846080
EvelynEspina3;2015-09-14 19:42;0;0;"Cada q te veo pasar Me ponen a delirar Tus bellos ojos Sólo tú me haces temblar Me estás haciendo volar Me vuelves loco Quiero acariciarte";;;;https://twitter.com/EvelynEspina3/status/643570658891337728
CamiZapataaa;2015-09-14 19:42;0;0;"A mover esos glúteos como terremoto en china";Uruguay;;;https://twitter.com/CamiZapataaa/status/643570654009237504
JuanVallone;2015-09-14 19:42;1;0;"@camiibuonanno_ uy, que miedo te tengo, edtoy temblando";;@camiibuonanno_;;https://twitter.com/JuanVallone/status/643570589303705602
paulinacabezasr;2015-09-14 19:42;0;1;"@rsepulveda88 jajaja cuidado con el terremoto curador!!!";;@rsepulveda88;;https://twitter.com/paulinacabezasr/status/643570542608556032
meteosmaniotto;2015-09-14 19:42;0;0;"Terremoto Pavia, Magnitudo 2.4, 14 settembre 2015 ore 22:20:26 UTC » INGV Centro Nazionale Terremoti http:// fb.me/4SlV9yNMY";;;;https://twitter.com/meteosmaniotto/status/643570474119622656
MonitorSismico;2015-09-14 19:42;0;0;"#Sismo M 2.7 69km ESE of Lakeview, #Oregon . 14-09-2015 23:18 UTC http:// srj.us/3El #Temblor #USGS pic.twitter.com/D0qKtn1vwH";;;#Sismo #Oregon #Temblor #USGS;https://twitter.com/MonitorSismico/status/643570459817181186
soysolidariocl;2015-09-14 19:41;0;0;"Hay muchas cosas para las que nunca vas a estar preparado. Para un terremoto sí. https://www. youtube.com/watch?v=60N-zo YdyxI … #cálmatepiensaactúa Fuente: onemi…";;;#c;https://twitter.com/soysolidariocl/status/643570385787744256
Lili_CaSan;2015-09-14 19:41;0;0;"Poemas eróticos que harán temblar tus piernas - Cultura Colectiva https:// shar.es/17asFU vía @culturacolectiv";;@culturacolectiv;;https://twitter.com/Lili_CaSan/status/643570357505540096
iallysgenevax;2015-09-14 19:41;0;0;"Hoy tembló 6 veces, y no sentí ninguno";;;;https://twitter.com/iallysgenevax/status/643570329130893312
fcomba;2015-09-14 19:41;0;0;"Retweeted Joaquín López-Dóriga ( @lopezdoriga ): A treinta años del terremoto en la Ciudad de México. Imágenes... http:// fb.me/BtxdmIxr";;@lopezdoriga;;https://twitter.com/fcomba/status/643570321514229761
camacholm;2015-09-14 19:41;0;0;"@tvnnoticias Blanca acaba de decir a q se deben los temblores!! Q pregunta es esa acaso se sabe la causa d un temblor revisen lo q dicen";;@tvnnoticias;;https://twitter.com/camacholm/status/643570248952729600
DayDreammer15;2015-09-14 19:41;0;0;"@IknowVirginia la que tienes que temblar eres tu, quieres romper la estructura litrraria del happy ending sin mas. Destroyer";;@IknowVirginia;;https://twitter.com/DayDreammer15/status/643570209387900928
EMSC;2015-09-14 19:40;0;0;"#Earthquake ( #sismo ) M2.7 strikes 70 km SE of #Lakeview ( #Oregon ) 23 min ago. More info: http://www. emsc-csem.org/Earthquake/ear thquake.php?id=459331 …";;;#Earthquake #sismo #Lakeview #Oregon;https://twitter.com/EMSC/status/643570120678371328
_anaaprieto;2015-09-14 19:40;0;0;"Estoy temblando joder es tan bonito";;;;https://twitter.com/_anaaprieto/status/643570003908894720
viniciusernani;2015-09-14 19:40;0;0;"aquele filme do terremoto é muito bom";;;;https://twitter.com/viniciusernani/status/643569957855449088
ToddyMarkiko;2015-09-14 19:39;0;0;"Pra esquecer as decepções. — assistindo Terremoto : A Falha de San Andreas";;;;https://twitter.com/ToddyMarkiko/status/643569864511234048
averagon;2015-09-14 19:39;0;0;"Septiembre 14 1995: en México, 5 días antes del décimo aniversario del Terremoto de México de 1985, un sismo de magnitud 7,3 en la [1/2]";;;;https://twitter.com/averagon/status/643569827433476096
Joellreyes;2015-09-14 19:39;0;0;"alerta de terremoto con eso sacude el building";;;;https://twitter.com/Joellreyes/status/643569802091626496
carlarcentales;2015-09-14 19:39;0;0;"#NowPlaying " Temblando " de Antonio Orozco de Temblando que canción ? http:// spoti.fi/ZYhS30";;;#NowPlaying;https://twitter.com/carlarcentales/status/643569800069947392
TuiteoMerida;2015-09-14 19:38;0;0;"#Trafico : .enzomesg: Merida preparada para un terremoto ... congestionamiento barbaro en toda la ciudad..!";;;#Trafico;https://twitter.com/TuiteoMerida/status/643569643773411328
mffyeah;2015-09-14 19:38;0;0;"Parece q no tembló .";;;;https://twitter.com/mffyeah/status/643569619047972865
SamiiiSosa_;2015-09-14 19:38;0;0;"Temblor y zonda el mismo dia,muy normal el lunes.";;;;https://twitter.com/SamiiiSosa_/status/643569528274857984
jobecerra;2015-09-14 19:38;0;0;"@mffyeah algo así.. pero de temblar nada";;@mffyeah;;https://twitter.com/jobecerra/status/643569502337302528
